Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,43P,26,1,opinar,opinar,75667,,,Regular,1,Canonical,caminar,38671,Mood,Indicative,EAPT,Production,,,I,Indicative filler,Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,14P,18,1,#08: ordenar,ordenar,65158,,,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,20P,3,1,#08: ordenar,ordenar,65158,,,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,2P,40,,#05: pedir,pedir,432187,,,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,7P,35,1,#05: pedir,pedir,432187,,,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,42P,36,1,pensar,pensar,235846,,,Irregular,0,Canonical,ser,42489918,Mood,Indicative,EAPT,Production,,,I,Indicative filler,Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,3P,30,1,#03: permitir,permitir,935997,,,Regular,1,Canonical,#02: enviar,766523,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,8P,25,1,#03: permitir,permitir,935997,,,Regular,1,Canonical,#06: viajar,78141,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,4P,20,1,#02: querer,querer,1263949,,,Irregular,0,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,6P,45,1,#02: querer,querer,1263949,,,Irregular,0,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,12P,38,1,#07: sugerir,sugerir,88224,,,Irregular,0,Canonical,#03: dejar,696519,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,16P,43,1,#07: sugerir,sugerir,88224,,,Irregular,0,Canonical,#06: viajar,78141,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,29P,14,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,,,Aspect,Preterit,EAPT,Production,Frequent,,F,Irregular stative with durante,Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,36P,42,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,,,Aspect,Preterit,EAPT,Production,Frequent,,H,Irregular stative with entre,Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,13P,28,1,valorar,valorar,113028,,,Regular,1,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,,Frequent,C,[–F/+F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,19P,13,0,valorar,valorar,113028,,,Regular,1,Canonical,#07: prestar,73724,Mood,Subjunctive,EMPT,Production,,Infrequent,D,[–F/–F],Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,41P,46,1,ver,ver,1187238,,,Irregular,0,Canonical,ser,42489918,Mood,Indicative,EAPT,Production,,,I,Indicative filler,Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,23P,29,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,,,Aspect,Preterit,EAPT,Production,Frequent,,E,Regular stative with durante,Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,34P,17,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,,,Aspect,Preterit,EAPT,Production,Frequent,,G,Regular stative with entre,Herencia,Producción
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,47P,31,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,,,Aspect,Imperfect,EMPT,Production,Frequent,,J,Regular imperfect filler,Herencia,Producción
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,44P,16,1,admitir,admitir,94289,,,Regular,1,Canonical,cocinar,258066,Mood,Indicative,EAPT,Production,,,I,Indicative filler,Herencia,Producción
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,21P,49,1,#08: amar,amar,65158,5580,14966,Regular,1,Canonical,,,Aspect,Preterit,EAPT,Production,Infrequent,,E,Regular stative with durante,Herencia,Producción
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,22P,39,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,,,Aspect,Preterit,EAPT,Production,Infrequent,,E,Regular stative with durante,Herencia,Producción
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,32P,37,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,,,Aspect,Preterit,EAPT,Production,Infrequent,,G,Regular stative with entre,Herencia,Producción
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,50P,1,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,,,Aspect,Imperfect,EMPT,Production,Infrequent,,J,Regular imperfect filler,Herencia,Producción
