Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,1,50,1,esperar,1409514,1,Canonical,,dejar,696519,Mood,Subjunctive,A,[+F/+F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,1,1,0,esperar,1409514,1,Canonical,,dejar,696519,Mood,Subjunctive,A,[+F/+F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,11,3,1,desear,148807,1,Canonical,,tomar,506707,Mood,Subjunctive,C,[–F/+F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,6,6,0,querer,1263949,0,Canonical,,robar,28182,Mood,Subjunctive,B,[+F/–F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,16,8,0,sugerir,88224,0,Canonical,,viajar,78141,Mood,Subjunctive,D,[–F/–F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,2,11,0,pedir,432187,0,Canonical,,quedar,947469,Mood,Subjunctive,A,[+F/+F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,12,13,0,sugerir,88224,0,Canonical,,dejar,696519,Mood,Subjunctive,C,[–F/+F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,7,16,0,pedir,432187,0,Canonical,,bailar,29935,Mood,Subjunctive,B,[+F/–F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,17,18,0,conseguir,129144,0,Canonical,,atar,15876,Mood,Subjunctive,D,[–F/–F]
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,3,21,0,permitir,935997,0,Canonical,,enviar,766523,Mood,Subjunctive,A,[+F/+F]
