Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std,DELE_Std
HSP03,2,Female,Heritage,Sequential,03,27,0,3,0,35,4,40,21,22,B,19,38,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F],43,2.0181188391924447,-0.9295208872364908,-0.7593805517898339,NA,-0.4954635084789066,0.26543626069640386
HSP03,2,Female,Heritage,Sequential,03,27,0,3,0,35,4,40,21,22,B,5,41,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,A,[+F/+F],43,2.0181188391924447,1.8138608218429253,1.2246470510386476,NA,-0.4954635084789066,0.26543626069640386
HSP03,2,Female,Heritage,Sequential,03,27,0,3,0,35,4,40,21,22,B,15,43,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,FCT,C,[–F/+F],43,2.0181188391924447,-0.7588212090390609,-0.8898030626306618,NA,-0.4954635084789066,0.26543626069640386
HSP03,2,Female,Heritage,Sequential,03,27,0,3,0,35,4,40,21,22,B,10,46,1,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,FCT,B,[+F/–F],43,2.0181188391924447,-0.18053725098113216,0.7218493994020267,NA,-0.4954635084789066,0.26543626069640386
HSP03,2,Female,Heritage,Sequential,03,27,0,3,0,35,4,40,21,22,B,20,48,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,FCT,D,[–F/–F],43,2.0181188391924447,-0.831834201259241,-0.7467312120510448,NA,-0.4954635084789066,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,20,3,0,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,FCT,D,[–F/–F],31,0.40605249303044694,-0.831834201259241,-0.7467312120510448,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,10,5,0,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,FCT,B,[+F/–F],31,0.40605249303044694,-0.18053725098113216,0.7218493994020267,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,15,8,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,FCT,C,[–F/+F],31,0.40605249303044694,-0.7588212090390609,-0.8898030626306618,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,5,10,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,A,[+F/+F],31,0.40605249303044694,1.8138608218429253,1.2246470510386476,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,19,13,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F],31,0.40605249303044694,-0.9295208872364908,-0.7593805517898339,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,9,15,0,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,B,[+F/–F],31,0.40605249303044694,0.1485854581850012,1.2246470510386476,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,14,18,1,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,FCT,C,[–F/+F],31,0.40605249303044694,-0.7989468264689892,-0.7467312120510448,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,4,20,0,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,A,[+F/+F],31,0.40605249303044694,1.5168112616950589,1.7428375487463559,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,18,23,1,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,FCT,D,[–F/–F],31,0.40605249303044694,-0.8824508830845953,-0.9250448047238335,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,8,25,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,B,[+F/–F],31,0.40605249303044694,0.8475707344418515,1.7428375487463559,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,13,28,0,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,C,[–F/+F],31,0.40605249303044694,-0.831834201259241,-0.8847828469725008,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,3,30,0,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,FCT,A,[+F/+F],31,0.40605249303044694,0.1485854581850012,0.7218493994020267,NA,-0.3314369631208261,0.26543626069640386
HSP04,23,Female,Heritage,Simultaneous,04,21,0,0,0.33,37,3,40,15,16,A,17,33,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,FCT,D,[–F/–F],31,0.40605249303044694,-0.7989468264689892,-0.8898030626306618,NA,-0.3314369631208261,0.26543626069640386
