Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,28,27,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,38,30,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,24,32,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,34,35,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,29,37,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,39,40,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,25,42,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,35,45,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,30,47,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,40,50,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
