Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Condition_Exp,Participant,FofA,Token_Differential,FofA_Std,Token_Lemma_Std,Token_Differential_Std,Token_Pret_Std,Type_Std,LOR_Std,DELE_Std
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,30,4,1,creer,537246,33274,70392,0,Canonical,NA,NA,Aspect,Preterit,EPT,F,Irregular stative with durante,03,32,37118,-0.2306782785469502,-0.6168960706278942,-0.3636339601129493,-0.6769900221677949,-0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,35,7,0,doler,69627,11678,6450,1,DativeExp,NA,NA,Aspect,Preterit,EPT,G,Regular stative with entre,03,32,-5228,-0.2306782785469502,-0.7358733905608738,-0.405845177472677,-0.7075030317835641,0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,25,9,1,faltar,182742,66767,55352,1,DativeExp,NA,NA,Aspect,Preterit,EPT,E,Regular stative with durante,03,32,-11415,-0.2306782785469502,-0.7070932949184405,-0.41201248493512055,-0.6296677295644907,0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,39,12,1,estar,10180830,1173419,2479642,0,Canonical,NA,NA,Aspect,Preterit,EPT,H,Irregular stative with entre,03,32,1306223,-0.2306782785469502,1.836741995551116,0.9014316188630395,0.9339219684031967,-0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,29,14,0,tener,8031798,2061773,1797701,0,Canonical,NA,NA,Aspect,Preterit,EPT,F,Irregular stative with durante,03,32,-264072,-0.2306782785469502,1.2899591064678861,-0.6638653056137377,2.1890782077163564,-0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,34,17,1,vivir,599425,225093,130040,1,Canonical,NA,NA,Aspect,Preterit,EPT,G,Regular stative with entre,03,32,-95053,-0.2306782785469502,-0.6010757323266003,-0.49538427442014643,-0.4059687686260638,0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,24,19,1,gustar,541858,94346,59408,1,DativeExp,NA,NA,Aspect,Preterit,EPT,E,Regular stative with durante,03,32,-34938,-0.2306782785469502,-0.6157226294299726,-0.43546061382457585,-0.5907013333710615,0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,38,22,1,creer,537246,33274,70392,0,Canonical,NA,NA,Aspect,Preterit,EPT,H,Irregular stative with entre,03,32,37118,-0.2306782785469502,-0.6168960706278942,-0.3636339601129493,-0.6769900221677949,-0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,28,24,1,excluir,53412,6569,1574,0,Canonical,NA,NA,Aspect,Preterit,EPT,F,Irregular stative with durante,03,32,-4995,-0.2306782785469502,-0.7399990083024823,-0.4056129190859388,-0.7147215429026123,-0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,33,27,1,faltar,182742,66767,55352,1,DativeExp,NA,NA,Aspect,Preterit,EPT,G,Regular stative with entre,03,32,-11415,-0.2306782785469502,-0.7070932949184405,-0.41201248493512055,-0.6296677295644907,0.9979144919948469,1.1883908141990693,1.2321297057987117
SBC03,8,Female,Comparison,Comparison,55,0,15,34,40,10,49,16,16,B,23,29,1,vivir,599425,225093,130040,1,Canonical,NA,NA,Aspect,Preterit,EPT,E,Regular stative with durante,03,32,-95053,-0.2306782785469502,-0.6010757323266003,-0.49538427442014643,-0.4059687686260638,0.9979144919948469,1.1883908141990693,1.2321297057987117
