Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC08,59,Female,Comparison,Comparison,45,2,0,18,18,40,10,47,Advanced,Native Range,13,13,A,5C,10,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,26,NA,-1.8245457152443543,-1.1360970642170665,-1.9574712777654413,0.0898735738645257,-0.14983347403347078,1.585364136799683,NA,NA,0.9331662457538138,-1.010927540544462
SBC08,59,Female,Comparison,Comparison,45,2,0,18,18,40,10,47,Advanced,Native Range,13,13,A,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,26,NA,-1.8245457152443543,-1.1360970642170665,-1.9574712777654413,0.0898735738645257,-0.14983347403347078,1.585364136799683,NA,NA,0.9331662457538138,-1.010927540544462
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,A,5C,10,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,28,NA,-1.5022708510981573,-0.8987405502565912,-1.6580015683383778,-0.09567186895255962,-0.14983347403347078,1.585364136799683,NA,NA,0.9331662457538138,-0.607955731995251
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,A,7C,35,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,28,NA,-1.5022708510981573,-0.8987405502565912,-1.6580015683383778,-0.09567186895255962,-0.14983347403347078,1.585364136799683,NA,NA,-1.1560737970131367,-0.607955731995251
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,44,NA,1.0759280620714182,1.0001115614272114,0.7377561070781309,1.0176007879499522,-0.14983347403347078,1.585364136799683,NA,NA,-1.1560737970131367,0.33231182128624165
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,B,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,44,NA,1.0759280620714182,1.0001115614272114,0.7377561070781309,1.0176007879499522,-0.14983347403347078,1.585364136799683,NA,NA,0.9331662457538138,0.33231182128624165
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,46,NA,1.3982029262176152,1.2374680753876868,1.0372258165051944,1.3886916735841228,-0.14983347403347078,1.585364136799683,NA,NA,-1.1560737970131367,0.8696075660185231
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,A,7C,35,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,46,NA,1.3982029262176152,1.2374680753876868,1.0372258165051944,1.3886916735841228,-0.14983347403347078,1.585364136799683,NA,NA,-1.1560737970131367,0.8696075660185231
SBC13,100,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,37,NA,-0.052033962440271,-0.1866710083751652,0.13881668822400378,-1.1161718044465287,1.5936833147196436,1.585364136799683,NA,NA,-1.1560737970131367,-0.7422796681783214
SBC13,100,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,B,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,37,NA,-0.052033962440271,-0.1866710083751652,0.13881668822400378,-1.1161718044465287,1.5936833147196436,1.585364136799683,NA,NA,0.9331662457538138,-0.7422796681783214
