Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,24C,32,1,#09: doler,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-5228,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.6573628061279346,-0.36284567261453676,-0.6369607231195447,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,34C,35,1,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,9386,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.6545399682038366,-0.34672865981614037,-0.6460774258501775,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,29C,37,1,#02: tener,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,-264072,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,1.4600105576924103,-0.6483111208688211,2.4279960962567717,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,39C,40,1,#06: creer,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,37118,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.5330092830729405,-0.31614449402134576,-0.604674020566126,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,25C,42,1,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,9386,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.6545399682038366,-0.34672865981614037,-0.6460774258501775,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,35C,45,1,#04: vivir,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-95053,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.5164740744735541,-0.46190894581940567,-0.3178985530214777,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,30C,47,1,#03: haber,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,3136079,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,1.3662202718127885,3.1015367772754416,0.8668691434272963,NA,-0.5963123919354069
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,40C,50,1,#10: excluir,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,-4995,0.7951026505413151,0.7950584971637048,0.47033192663492585,-1.3686139837131368,0.6390552467444482,-0.6616748472903697,-0.36258870915607044,-0.6445988395922904,NA,-0.5963123919354069
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,21C,2,1,#04: vivir,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,32,-95053,-0.7667061273076959,-0.3556840645206052,-0.9667934047495695,-0.2602885490497376,1.5177562110180656,-0.5164740744735541,-0.46190894581940567,-0.3178985530214777,NA,1.0784373045640334
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,31C,5,0,#09: doler,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,32,-5228,-0.7667061273076959,-0.3556840645206052,-0.9667934047495695,-0.2602885490497376,1.5177562110180656,-0.6573628061279346,-0.36284567261453676,-0.6369607231195447,NA,1.0784373045640334
