Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,8,25,1,permitir,935997,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,13,28,1,valorar,113028,,,Regular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,3,30,1,permitir,935997,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,17,33,1,conseguir,129144,,,Irregular,Canonical,atar,15876,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,7,35,1,pedir,432187,,,Irregular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,12,38,1,sugerir,88224,,,Irregular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,2,40,1,pedir,432187,,,Irregular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,16,43,1,sugerir,88224,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,6,45,1,querer,1263949,,,Irregular,Canonical,robar,28182,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,11,48,1,desear,148807,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC05,13,Female,Comparison,Comparison,05,41,0,39,39,40,10,45,8,24,B,1,50,1,esperar,1409514,,,Regular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,20,3,1,ordenar,65158,,,Regular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,10,5,1,esperar,1409514,,,Regular,Canonical,atar,15876,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,15,8,1,conseguir,129144,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,5,10,1,necesitar,593469,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,19,13,1,valorar,113028,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,9,15,1,necesitar,593469,,,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,14,18,0,ordenar,65158,,,Regular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,4,20,1,querer,1263949,,,Irregular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,18,23,1,desear,148807,,,Regular,Canonical,robar,28182,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,8,25,1,permitir,935997,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,13,28,1,valorar,113028,,,Regular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,3,30,1,permitir,935997,,,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,17,33,1,conseguir,129144,,,Irregular,Canonical,atar,15876,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,7,35,1,pedir,432187,,,Irregular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,12,38,1,sugerir,88224,,,Irregular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,2,40,1,pedir,432187,,,Irregular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,16,43,1,sugerir,88224,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,6,45,1,querer,1263949,,,Irregular,Canonical,robar,28182,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,11,48,1,desear,148807,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC06,15,Female,Comparison,Comparison,06,34,0,12,12,40,8,46,18,18,B,1,50,1,esperar,1409514,,,Regular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,1,1,1,esperar,1409514,,,Regular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,11,3,1,desear,148807,,,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,6,6,1,querer,1263949,,,Irregular,Canonical,robar,28182,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,16,8,1,sugerir,88224,,,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,D,[–F/–F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,2,11,1,pedir,432187,,,Irregular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,A,[+F/+F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,12,13,1,sugerir,88224,,,Irregular,Canonical,dejar,696519,Mood,Subjunctive,EMPT,C,[–F/+F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,7,16,1,pedir,432187,,,Irregular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,B,[+F/–F]
SBC07,12,Female,Comparison,Comparison,07,25,0,11,8,40,6,48,12,10,A,17,18,1,conseguir,129144,,,Irregular,Canonical,atar,15876,Mood,Subjunctive,EMPT,D,[–F/–F]
