Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,11,3,1,sugerir,88224,NA,NA,Irregular,Canonical,prestar,73724,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.8790956074563991,-0.778402722516069,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,6,6,1,querer,1263949,NA,NA,Irregular,Canonical,dejar,696519,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,1.5261119318919656,0.9835736131832781,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,16,8,1,desear,148807,NA,NA,Regular,Canonical,bailar,29935,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.7551595778947737,-0.9022880808826884,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,2,11,1,pedir,432187,NA,NA,Irregular,Canonical,dejar,696519,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.17544262665146468,0.9835736131832781,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,12,13,1,ordenar,65158,NA,NA,Regular,Canonical,atar,15876,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.9262822515292983,-0.9420630073088754,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,7,16,1,esperar,1409514,NA,NA,Regular,Canonical,atar,15876,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,1.8238975836942533,-0.9420630073088754,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,17,18,1,conseguir,129144,NA,NA,Irregular,Canonical,robar,28182,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.795384626988913,-0.9072475691837841,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,3,21,1,necesitar,593469,NA,NA,Regular,Canonical,tratar,590952,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,0.15449565173947108,0.6849094366391938,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,13,23,1,valorar,113028,NA,NA,Regular,Canonical,bailar,29935,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.8283534970088057,-0.9022880808826884,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,8,26,1,permitir,935997,NA,NA,Irregular,Canonical,quedar,947469,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,0.8552130202039646,1.6935471380891478,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,18,28,1,sugerir,88224,NA,NA,Irregular,Canonical,atar,15876,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.8790956074563991,-0.9420630073088754,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,4,31,1,querer,1263949,NA,NA,Irregular,Canonical,quedar,947469,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,1.5261119318919656,1.6935471380891478,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,14,33,1,conseguir,129144,NA,NA,Irregular,Canonical,viajar,78141,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.795384626988913,-0.7659063963175863,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,9,36,1,necesitar,593469,NA,NA,Regular,Canonical,enviar,766523,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,0.15449565173947108,1.1816249645979444,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,19,38,1,ordenar,65158,NA,NA,Regular,Canonical,prestar,73724,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.9262822515292983,-0.778402722516069,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,5,41,1,esperar,1409514,NA,NA,Regular,Canonical,enviar,766523,Mood,Subjunctive,MSPT,A,[+F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,1.8238975836942533,1.1816249645979444,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,15,43,1,desear,148807,NA,NA,Regular,Canonical,robar,28182,Mood,Subjunctive,MSPT,C,[–F/+F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.7551595778947737,-0.9072475691837841,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,10,46,1,pedir,432187,NA,NA,Irregular,Canonical,tratar,590952,Mood,Subjunctive,MSPT,B,[+F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.17544262665146468,0.6849094366391938,NA,0.10244987284459801
SBC02,4,Female,Comparison,Comparison,02,28,0,3,22,40,7,48,21,21,B,20,48,1,valorar,113028,NA,NA,Regular,Canonical,viajar,78141,Mood,Subjunctive,MSPT,D,[–F/–F],42,0.765855004889626,-1.359296258627627,0.4870107670057054,-0.8283534970088057,-0.7659063963175863,NA,0.10244987284459801
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,1,1,1,permitir,935997,NA,NA,Irregular,Canonical,tomar,506707,Mood,Subjunctive,MSPT,A,[+F/+F],32,-0.2605486099109039,-0.18123950115035029,1.1201247641131247,0.8552130202039646,0.4465682547077533,NA,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,11,3,1,sugerir,88224,NA,NA,Irregular,Canonical,prestar,73724,Mood,Subjunctive,MSPT,C,[–F/+F],32,-0.2605486099109039,-0.18123950115035029,1.1201247641131247,-0.8790956074563991,-0.778402722516069,NA,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,6,6,1,querer,1263949,NA,NA,Irregular,Canonical,dejar,696519,Mood,Subjunctive,MSPT,B,[+F/–F],32,-0.2605486099109039,-0.18123950115035029,1.1201247641131247,1.5261119318919656,0.9835736131832781,NA,1.2440341702558333
SBC03,8,Female,Comparison,Comparison,03,55,0,15,34,40,10,49,16,16,B,16,8,1,desear,148807,NA,NA,Regular,Canonical,bailar,29935,Mood,Subjunctive,MSPT,D,[–F/–F],32,-0.2605486099109039,-0.18123950115035029,1.1201247641131247,-0.7551595778947737,-0.9022880808826884,NA,1.2440341702558333
