Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Verb_condition,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std,DELE_Std
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,4,31,1,querer,1263949,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,A,Frequent,04,48,1.351115631489278,1.525866398637719,0.6278641119606613,NA,-1.7368788822909476,2.0133212464270476
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,14,33,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,Infrequent,04,48,1.351115631489278,-0.926133223734668,0.6278641119606613,NA,-1.7368788822909476,2.0133212464270476
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,9,36,1,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,Frequent,04,48,1.351115631489278,0.15447079522708437,-0.8648966010237529,NA,-1.7368788822909476,2.0133212464270476
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,19,38,1,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,Infrequent,04,48,1.351115631489278,-0.8282202247857552,-0.8648966010237529,NA,-1.7368788822909476,2.0133212464270476
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,5,41,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,Frequent,04,48,1.351115631489278,0.15447079522708437,0.3847264120191037,NA,-1.7368788822909476,2.0133212464270476
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,15,43,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,Infrequent,04,48,1.351115631489278,-0.7952566590648302,1.1345758351067141,NA,-1.7368788822909476,2.0133212464270476
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,10,46,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,Frequent,04,48,1.351115631489278,1.8236041402712786,-1.0318504815652594,NA,-1.7368788822909476,2.0133212464270476
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,20,48,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,Infrequent,04,48,1.351115631489278,-0.926133223734668,-0.9912751011453134,NA,-1.7368788822909476,2.0133212464270476
SBC05,13,Female,Comparison,NA,41,0,39,39,40,10,45,8,24,B,20,3,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,Infrequent,05,32,-0.2306782785469502,-0.926133223734668,-0.9912751011453134,NA,1.6454642042756344,-1.539598600208916
SBC05,13,Female,Comparison,NA,41,0,39,39,40,10,45,8,24,B,10,5,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,Frequent,05,32,-0.2306782785469502,1.8236041402712786,-1.0318504815652594,NA,1.6454642042756344,-1.539598600208916
