Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,37,32,1,tener,8031798,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,27,34,1,estar,10180830,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,32,37,1,amar,80242,1,Canonical,,,,Aspect,Preterit,G,Regular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,22,39,1,amar,80242,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,36,42,1,tener,8031798,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,26,44,1,haber,7679109,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,31,47,1,gustar,541858,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,21,49,0,doler,69627,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,40,2,1,haber,7679109,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,30,4,1,creer,537246,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,35,7,0,doler,69627,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,25,9,1,faltar,182742,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,39,12,1,estar,10180830,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,29,14,0,tener,8031798,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,34,17,1,vivir,599425,1,Canonical,,,,Aspect,Preterit,G,Regular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,24,19,1,gustar,541858,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,38,22,1,creer,537246,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,28,24,1,excluir,53412,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,33,27,1,faltar,182742,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,23,29,1,vivir,599425,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,37,32,1,tener,8031798,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,27,34,1,estar,10180830,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,32,37,0,amar,80242,1,Canonical,,,,Aspect,Preterit,G,Regular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,22,39,0,amar,80242,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,36,42,0,tener,8031798,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,26,44,1,haber,7679109,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,31,47,1,gustar,541858,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC03,8,Female,Comparison,,55,0,15,34,40,10,49,16,16,B,21,49,0,doler,69627,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,21,2,0,doler,69627,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,31,5,1,gustar,541858,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,26,7,1,haber,7679109,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,38,10,1,excluir,53412,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,22,12,1,amar,80242,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,32,15,0,amar,80242,1,Canonical,,,,Aspect,Preterit,G,Regular stative with entre
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,27,17,1,estar,10180830,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,37,20,1,tener,8031798,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,23,22,1,vivir,599425,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,33,25,1,faltar,182742,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC04,5,Female,Comparison,,30,0,10,2,40,10,50,25,23,A,28,27,1,excluir,53412,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
