Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,LOR_Std,DELE_Std
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,8,26,1,permitir,935997,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,B,[+F/–F],01,42,0.6930874030240756,0.8549127874335384,-0.8519867089026583,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,18,28,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],01,42,0.6930874030240756,-0.7548944700832356,-0.9961448898460377,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,4,31,1,querer,1263949,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],01,42,0.6930874030240756,1.5255761720257477,0.627744689399056,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,14,33,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,[–F/+F],01,42,0.6930874030240756,-0.9259570690542853,0.627744689399056,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,9,36,1,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,[+F/–F],01,42,0.6930874030240756,0.1544414141911121,-0.8647320938228309,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,19,38,1,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],01,42,0.6930874030240756,-0.828062693595593,-0.8647320938228309,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,5,41,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],01,42,0.6930874030240756,0.1544414141911121,0.38465323533522366,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,15,43,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F],01,42,0.6930874030240756,-0.7951053976922656,1.134360033709592,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,10,46,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],01,42,0.6930874030240756,1.8232572826095066,-1.03165421898972,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,20,48,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],01,42,0.6930874030240756,-0.9259570690542853,-0.9910865561885636,0.3673920079686824,-0.2794188009246368
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,20,3,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],02,42,0.6930874030240756,-0.9259570690542853,-0.9910865561885636,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,10,5,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],02,42,0.6930874030240756,1.8232572826095066,-1.03165421898972,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,15,8,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F],02,42,0.6930874030240756,-0.7951053976922656,1.134360033709592,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,5,10,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],02,42,0.6930874030240756,0.1544414141911121,0.38465323533522366,0,0.4889829016181076
