Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Condition_Exp
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,32,15,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,27,17,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,36,20,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,23,22,0,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,33,25,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,28,27,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,38,30,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,24,32,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,34,35,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,29,37,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,39,40,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,25,42,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,35,45,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,30,47,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L04,33,Male,L2 Learner,L2 Learner,25,9,0,1.33,37,0,49,14,16,B,40,50,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,21,2,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,31,5,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,26,7,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,37,10,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,22,12,1,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,32,15,1,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,27,17,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,36,20,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,38,22,0,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,28,24,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,33,27,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,23,29,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,36,32,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,27,34,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,32,37,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,22,39,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,37,42,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,26,44,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,31,47,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L05,47,Male,L2 Learner,L2 Learner,20,14,0,0,31,3,39,10,10,B,21,49,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L06,31,Male,L2 Learner,L2 Learner,27,14,0,3.375,40,4,44,12,12,B,21,2,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L06,31,Male,L2 Learner,L2 Learner,27,14,0,3.375,40,4,44,12,12,B,31,5,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
