Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,LOR_Std,DELE_Std
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,26,44,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.011689447099696918,1.2082676329940492,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,31,47,1,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.011689447099696918,-0.6070987514624232,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,21,49,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.011689447099696918,-0.7272111425074158,-0.5753969085652074,-1.9621900401842918
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,21,2,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.7272111425074158,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,31,5,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.6070987514624232,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,26,7,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,1.2082676329940492,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,38,10,1,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,-0.731335442735047,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,22,12,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.7245112074524478,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,32,15,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.7245112074524478,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,27,17,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,1.8445826801584029,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,37,20,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,1.297974405919307,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,23,22,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.5924565318383682,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,33,25,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.6984402377742357,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,28,27,1,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,-0.731335442735047,-0.5753969085652074,-0.5669868346069586
