Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,TF_Std,LOR_Std,DELE_Std
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,24,32,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.949610754053892,-0.6197725433321867,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,34,35,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.949610754053892,-0.6051114229744164,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,29,37,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.949610754053892,1.287759754902521,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,39,40,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.949610754053892,1.8350736118813393,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,25,42,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.949610754053892,-0.7112319367068807,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,35,45,1,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.949610754053892,-0.7400399800176173,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,30,47,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.949610754053892,-0.6209471240310251,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,40,50,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.949610754053892,1.197937185064565,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,40,2,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,30,0.40577406768070035,1.197937185064565,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,30,4,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,30,0.40577406768070035,-0.6209471240310251,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
