Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,LF,FofA_Std,LF_Main_Std,LF_Sub_Std,LF_Std,LOR_Std,DELE_Std
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,16,43,1,desear,148807,Regular,Canonical,NA,bailar,29935,Mood,Subjunctive,D,[–F/–F],2,14,178742,-0.9404137617995748,-0.7585287353058265,-0.8875600925281153,-0.8908174441607069,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,6,45,1,querer,1263949,Irregular,Canonical,NA,dejar,696519,Mood,Subjunctive,B,[+F/–F],2,14,1960468,-0.9404137617995748,1.5198471961033526,1.0179586984461693,1.4373217655930326,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,11,48,1,sugerir,88224,Irregular,Canonical,NA,prestar,73724,Mood,Subjunctive,C,[–F/+F],2,14,161948,-0.9404137617995748,-0.8823074550137762,-0.7623834271146446,-0.9127617666258918,-0.5722600679437538,-0.551904568946741
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,1,50,1,permitir,935997,Irregular,Canonical,NA,tomar,506707,Mood,Subjunctive,A,[+F/+F],2,14,1442704,-0.9404137617995748,0.8497998447727569,0.4753559165726006,0.7607717967432008,-0.5722600679437538,-0.551904568946741
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,1,1,1,permitir,935997,Irregular,Canonical,NA,tomar,506707,Mood,Subjunctive,A,[+F/+F],2,30,1442704,0.41922059260944905,0.8497998447727569,0.4753559165726006,0.7607717967432008,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,11,3,1,sugerir,88224,Irregular,Canonical,NA,prestar,73724,Mood,Subjunctive,C,[–F/+F],2,30,161948,0.41922059260944905,-0.8823074550137762,-0.7623834271146446,-0.9127617666258918,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,6,6,1,querer,1263949,Irregular,Canonical,NA,dejar,696519,Mood,Subjunctive,B,[+F/–F],2,30,1960468,0.41922059260944905,1.5198471961033526,1.0179586984461693,1.4373217655930326,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,16,8,1,desear,148807,Regular,Canonical,NA,bailar,29935,Mood,Subjunctive,D,[–F/–F],2,30,178742,0.41922059260944905,-0.7585287353058265,-0.8875600925281153,-0.8908174441607069,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,2,11,1,pedir,432187,Irregular,Canonical,NA,dejar,696519,Mood,Subjunctive,A,[+F/+F],2,30,1128706,0.41922059260944905,-0.17954760873832823,1.0179586984461693,0.3504780391260057,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,12,13,1,ordenar,65158,Regular,Canonical,NA,atar,15876,Mood,Subjunctive,C,[–F/+F],2,30,81034,0.41922059260944905,-0.9294342058974162,-0.9277496090516254,-1.0184901760547345,-0.446738223084564,1.2518058938121626
