Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,7,16,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,B,[+F/–F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,17,18,1,conseguir,129144,,,0,Canonical,robar,28182,Mood,Subjunctive,FCT,D,[–F/–F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,3,21,1,necesitar,593469,,,1,Canonical,tratar,590952,Mood,Subjunctive,FCT,A,[+F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,13,23,1,valorar,113028,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,C,[–F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,8,26,1,permitir,935997,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,B,[+F/–F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,18,28,1,sugerir,88224,,,0,Canonical,atar,15876,Mood,Subjunctive,FCT,D,[–F/–F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,4,31,1,querer,1263949,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,A,[+F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,14,33,1,conseguir,129144,,,0,Canonical,viajar,78141,Mood,Subjunctive,FCT,C,[–F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,9,36,1,necesitar,593469,,,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,B,[+F/–F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,19,38,1,ordenar,65158,,,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F]
