Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP19,45,Male,Heritage,Simultaneous,22,2,0,0,0,36,4,30,Intermediate,Intermediate,16,20,A,18P,28,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,36,NA,1.3124843578175953,0.8016333231859473,1.5787112573744508,-0.3177842795233405,-1.2031080775518797,-0.937951167538088,NA,NA,-1.042749771034309,-0.45863360688636673
HSP21,63,Female,Heritage,Simultaneous,18,2,0,0,0,22,2,42,Advanced,Advanced,12,15,A,11P,3,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,27,NA,-0.18529775377212818,-0.5278080791273816,0.13686755175710885,-0.3177842795233405,0.823922296194372,-0.937951167538088,NA,NA,0.3537403447381514,-0.45863360688636673
HSP21,63,Female,Heritage,Simultaneous,18,2,0,0,0,22,2,42,Advanced,Advanced,12,15,A,18P,28,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,27,NA,-0.18529775377212818,-0.5278080791273816,0.13686755175710885,-0.3177842795233405,0.823922296194372,-0.937951167538088,NA,NA,-1.042749771034309,-0.45863360688636673
HSP28,80,Female,Heritage,Simultaneous,28,2,0,0,0,34,3,35,Intermediate,Intermediate,16,14,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,30,NA,0.313962950091113,0.8016333231859473,-0.15150118936635956,-0.3177842795233405,-0.3585120884909415,-0.937951167538088,NA,NA,-1.042749771034309,-0.45863360688636673
HSP28,80,Female,Heritage,Simultaneous,28,2,0,0,0,34,3,35,Intermediate,Intermediate,16,14,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,30,NA,0.313962950091113,0.8016333231859473,-0.15150118936635956,-0.3177842795233405,-0.3585120884909415,-0.937951167538088,NA,NA,0.3537403447381514,-0.45863360688636673
HSP30,82,Female,Heritage,Simultaneous,20,2,0,2,0,26,1,25,Intermediate,Intermediate,14,16,B,18P,23,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,30,NA,0.313962950091113,0.13691262202928284,0.4252362928805773,2.343659061484636,-2.047704066612818,-0.937951167538088,NA,NA,-1.042749771034309,-0.45863360688636673
HSP30,82,Female,Heritage,Simultaneous,20,2,0,2,0,26,1,25,Intermediate,Intermediate,14,16,B,11P,48,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,30,NA,0.313962950091113,0.13691262202928284,0.4252362928805773,2.343659061484636,-2.047704066612818,-0.937951167538088,NA,NA,0.3537403447381514,-0.45863360688636673
HSP33,86,Male,Heritage,Simultaneous,26,2,0,0,0,29,5,43,Advanced,Advanced,15,15,A,11P,3,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,30,NA,0.313962950091113,0.4692729726076151,0.13686755175710885,-0.3177842795233405,0.9928414940065595,-0.937951167538088,NA,NA,0.3537403447381514,-0.45863360688636673
HSP33,86,Male,Heritage,Simultaneous,26,2,0,0,0,29,5,43,Advanced,Advanced,15,15,A,18P,28,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,30,NA,0.313962950091113,0.4692729726076151,0.13686755175710885,-0.3177842795233405,0.9928414940065595,-0.937951167538088,NA,NA,-1.042749771034309,-0.45863360688636673
HSP35,88,Female,Heritage,Simultaneous,25,2,0,0,2.5,36,4,37,Intermediate,Intermediate,17,17,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,34,NA,0.9796438885754346,1.1339936737642795,0.7136050340040457,-0.3177842795233405,-0.020673692866566257,-0.937951167538088,NA,NA,0.3537403447381514,3.6817743457635435
